Marketplace,Order ID,Order Date,Currency,Price,Price Tax,Shipping Charge,Total Discounts,Total Owed,Item Subtotal,Item Subtotal Tax,ASIN,Product Condition,Quantity,Payment Instrument Type,Order Status,Shipment Status,Ship Date,Shipping Option,Carrier Name & Tracking Number,Product Name,Gift Message,Gift Sender Name,Gift Recipient Contact Details
Amazon.co.uk,204-9913802-5705106,2020-10-10,GBP,17.7,3.54,0,0,21.24,17.7,3.54,B089QFJ6FN,New,1,Visa - 2011,Closed,Shipped,10/10/2020 19:10,premium-uk,AMZN_UK(QA0696409706),Govee Alexa LED Strip Lights 5M Smart WiFi LED Strip Works with Alexa APP and Remote Control Upgraded Music Sync Color Changing RGB Strip Lights for Room Kitchen TV Party,,,
Amazon.co.uk,203-2400422-4777966,2020-10-03,GBP,4.99,1,0,0,5.99,4.99,1,B016VAC41K,New,1,Visa - 2018,Closed,Shipped,03/10/2020 18:12,premium-uk,AMZN_UK(QA0680392779),KEPLIN Lint Roller+4 Sticky replacement Heads Easily and quickly removes animal hairs dust and fluff from garments furniture and car seats,,,
Amazon.co.uk,203-9972078-4479556,2020-10-01,GBP,12.49,2.5,0,0,14.99,12.49,2.5,B0875T3M44,New,1,Visa - 2011,Closed,Shipped,02/10/2020 01:29,premium-uk,AMZN_UK(QA0677553687),Gurxi 8 Pieces Stainless Steel Cabinet Furniture Leg Furniture Legs Round Stainless Steel Easy to Clean and Maintain for Coffee Tables Modern Desks and Night Stands 50 * 60mm,,,
Amazon.co.uk,203-7792872-7583521,2020-09-30,GBP,9.99,2,0,0,11.99,9.99,2,B07S9PTLNZ,New,1,Visa - 2011,Closed,Shipped,30/09/2020 18:10,premium-uk,AMZN_UK(QA0673644791),RENPHO Digital Bathroom Scales Weighing Scale with High Precision Sensors Body Weight Scale (Stone/lb/kg) - Black,,,
Amazon.co.uk,203-7469207-5073955,2020-09-30,GBP,5.41,1.08,0,0,6.49,5.41,1.08,B00KLASQLY,New,1,Visa - 2011,Closed,Shipped,30/09/2020 21:27,premium-uk,AMZN_UK(QA0674454744),VOSS Still Water Plastic Bottle 500 ml Pack of 2,,,
Amazon.co.uk,204-0892709-8921133,2020-09-27,GBP,3.74,0.75,0,0,4.49,3.74,0.75,B00M008N2A,New,1,Visa - 2011,Closed,Shipped,28/09/2020 11:19,premium-uk,ROYAL_HIGH_LETTER_TRACKED(TY772680148GB),OKULI Set of 22 Silicone EarBuds Ear Tips For Earphones (Small Medium Large),,,
Amazon.co.uk,204-5396566-1662719,2020-09-23,GBP,121.32,24.26,0,0,145.58,121.32,24.26,B07CGJNLBB,New,1,Visa - 7718,Closed,Shipped,23/09/2020 23:38,premium-uk,AMZN_UK(QA0660089415),Samsung 970 EVO 1 TB PCIe NVMe M.2 (2280) Internal Solid State Drive (SSD) (MZ-V7E1T0),,,
Amazon.co.uk,204-0795607-1377136,2020-09-23,GBP,121.32,24.26,0,0,145.58,121.32,24.26,B07CGJNLBB,New,1,Visa - 2011,Closed,Shipped,23/09/2020 23:38,premium-uk,AMZN_UK(QA0660089415),Samsung 970 EVO 1 TB PCIe NVMe M.2 (2280) Internal Solid State Drive (SSD) (MZ-V7E1T0),,,
Amazon.co.uk,204-8163692-6438731,2020-09-21,GBP,8.29,1.66,0,0,9.95,8.29,1.66,B07F84MRMV,New,1,Visa - 2011,Closed,Shipped,22/09/2020 11:06,premium-uk,AMZN_UK(QA0656658586),NO HAIR CREW Premium Intimate Hair Removal Cream - Extra Gentle Hair Removal Cream for Sensitive Areas. Made for Men 100 ml,,,
Amazon.co.uk,204-7911513-4769145,2020-09-15,GBP,9.75,1.95,0,0,11.7,9.75,1.95,B06WP9XLWR,New,1,Visa - 2011,Closed,Shipped,16/09/2020 01:34,premium-uk,AMZN_UK(QA0644817536),Cuderm Lotion 500ml (Alcohol Free) [Suitable for Dry Skin Eczema] Colloidal Oatmeal - Hypoallergenic - Vegan Certified - Fragrance Free - SLS Free - ,,,
Amazon.co.uk,204-5592643-2410742,2020-09-10,GBP,7.49,1.5,0,0,8.99,7.49,1.5,B078BJQMPG,New,1,Visa - 2018,Closed,Shipped,11/09/2020 23:35,premium-uk,AMZN_UK(QA0637108531),Spigen Rugged Armor Case Compatible with Samsung Galaxy S9 - Matte Black,,,
Amazon.co.uk,204-2660992-3661957,2020-09-10,GBP,7.99,0,0,0,7.99,7.99,0,B07C2S3J6K,New,1,Visa - 2018,Closed,Shipped,11/09/2020 23:35,premium-uk,AMZN_UK(QA0637108531),Alinsea [3 Pack Screen Protector for Samsung Galaxy S9 [NOT for S9+] [Bubble Free] [Case-Friendly] Plastic Film [NOT Glass] [Wet Applied] [No Lifting ,,,
Amazon.co.uk,204-4767356-7345166,2020-08-29,GBP,70.82,14.17,0,0,84.99,70.82,14.17,B07V5184HD,New,1,Visa - 2011,Closed,Shipped,30/08/2020 13:46,premium-uk,AMZN_UK(QA0610837896),Hbada Office Chair Desk Chair Flip-up Armrest Ergonomic Task Chair Compact 120° Locking 360° Rotation Seat Surface Lift Reinforced Nylon Resin Base White,,,
Amazon.co.uk,204-7261431-9893104,2020-08-29,GBP,0,0,0,0,0,0,0,B075RHM4VL,New,1,Visa - 2011,Closed,Shipped,29/08/2020 22:09,,,Amazon Prime (30-Day Free Trial),,,
Amazon.co.uk,203-9170491-4922743,2020-07-19,GBP,2.71,0.54,4.49,0,7.74,2.71,0.54,B079P6FST4,New,1,Visa - 2011,Closed,Shipped,20/07/2020 16:26,std-uk-dom,AMZN_UK(QA0530769027),Brabantia 118029 Microfibre Cleaning Cloths (x 2) Machine Washable Dark Grey 30 x 30 x 0.5 cm,,,
Amazon.co.uk,204-2588391-8676312,2020-06-11,GBP,18.47,3.69,4.99,0,27.15,18.47,3.69,B07FSWM4Z2,New,1,Visa - 2011,Closed,Shipped,11/06/2020 20:26,premium-uk,AMZN_UK(QA0449722407),Official Nintendo Licensed D-pad Joy-Con Left Zelda Version for Nintendo Switch,,,
Amazon.co.uk,204-3952641-7196347,2020-06-11,GBP,4.16,0.83,4.49,0,9.48,4.16,0.83,B00NH11N5A,New,1,Visa - 2011,Closed,Shipped,12/06/2020 01:47,std-uk-dom,AMZN_UK(QA0450475089),Amazon Basics USB 2.0 A-Male to Mini-B Cable 1.8 m / 6 Feet,,,
Amazon.co.uk,204-8940441-1468362,2020-06-05,GBP,13.99,0,4.49,0,18.48,13.99,0,B01LZI6WP6,New,1,Visa - 2011,Closed,Shipped,06/06/2020 07:02,std-uk-dom,AMZN_UK(QA0436236147),JIALONG Gaming Mouse Mat Desk Office Mouse Pad Large Size 900x400x3mm Comfortable Mousepad with Personalized Design for Laptop Computer and PC - Black World Map,,,
Amazon.co.uk,204-2160840-7303519,2020-06-04,GBP,23.32,4.67,4.49,0,32.48,23.32,4.67,B01JIYWUBA,New,1,Visa - 2011,Closed,Shipped,04/06/2020 23:50,std-uk-dom,AMZN_UK(QA0434277697),Power Bank Anker PowerCore Speed 10000 QC Qualcomm Quick Charge 3.0 Portable Charger for Galaxy S8 with Power IQ Power Bank for Samsung iPhone iPad and More,,,
Amazon.co.uk,204-2442595-4705933,2020-05-28,GBP,9.16,1.83,4.49,0,15.48,9.16,1.83,B07NTV64J2,New,1,Visa - 2011,Closed,Shipped,30/05/2020 13:03,std-uk-dom,AMZN_UK(QB0049611438),Mini DisplayPort to DisplayPort Cable 2m iVANKY 4K@60Hz Ultra HD Nylon Braided & Gold-Plated Mini DP to DP Cable Thunderbolt Compatible for MacBook Ai,,,
Amazon.co.uk,204-5780418-8619534,2020-05-19,GBP,12.49,2.5,0.37,0,14.99,19.98,4,B07T5XJW9G,New,1,Visa - 2018,Closed,Shipped,20/05/2020 19:37,econ-uk,AMZN_UK(QB0047217790),Spigen Tough Armor Designed for iPhone 11 Case Shockproof Air Cushion and Dual Layer with Kickstand Protective Case for iPhone 11 - Gunmetal,,,
Amazon.co.uk,204-5780418-8619534,2020-05-19,GBP,7.49,1.5,0.38,0,8.99,19.98,4,B07W1P2VCZ,New,1,Visa - 2018,Closed,Shipped,20/05/2020 19:37,econ-uk,AMZN_UK(QB0047217790),"Spigen 2Pack iPhone 11 Screen Protector/iPhone XR Screen Protector (6.1"") AlignMaster Auto-Align Technology Case Friendly Face ID Compatible Te",,,
Amazon.co.uk,204-7686374-9042755,2020-05-19,GBP,7.37,1.48,0,0,8.85,7.37,1.48,B000BMYWYC,New,1,Visa - 2011,Closed,Shipped,20/05/2020 06:52,Std UK Dom_1,Royal Mail(0D010678100100045F547),Tamiya 87038 Extra Thin Cement 40ml,,,
Amazon.co.uk,204-9656748-0090724,2020-05-16,GBP,15.98,0,4.99,0,20.97,15.98,0,B07ZDFN1K3,New,1,Visa - 2011,Closed,Shipped,16/05/2020 16:21,premium-uk,AMZN_UK(QA0388339865),Precision Screwdriver Set - 120 in 1 DIY Tool Kit - Electronic Professional Repair Tool Set - Mini Screwdriver Set with Case Bits Sockets Slotted ,,,
Amazon.co.uk,204-3121929-0639549,2020-05-06,GBP,26.99,0,0,0,26.99,26.99,0,B07Z8QPJN5,New,1,Visa - 2018,Closed,Shipped,07/05/2020 12:11,econ-uk,AMZN_UK(QB0044095481),Digital Voice Recorder 16GB SuperEye USB Dictaphone with MP3 Music Player Microphone Audio Professional Recording Noise Reduction Rechargeable Battery Recorder for Lectures Meetings Interviews,,,
Amazon.co.uk,204-0482234-8528358,2020-04-24,GBP,19.99,0,4.49,0,24.48,19.99,0,B07QR8188X,New,1,Visa - 2011,Closed,Shipped,25/04/2020 00:04,std-uk-dom,AMZN_UK(QB0041589178),Viviland Faux Fur Throw Blanket Soft Plush Shaggy Fleece Blanket Machine Washable Blue-grey 130cm×150cm,,,
Amazon.co.uk,203-4722934-3077966,2020-04-23,GBP,7.46,1.49,0,0,8.95,7.46,1.49,B004JL6MJ4,New,1,Visa - 2011,Closed,Shipped,24/04/2020 13:06,Std UK Dom_1,Royal Mail(0E054198800035141061B),Eco | Argan Oil Gel (32oz),,,
Amazon.co.uk,204-3002417-9272338,2020-04-16,GBP,5.74,1.15,0,0,6.89,5.74,1.15,B00001QHVP,New,1,Visa - 2011,Closed,Shipped,16/04/2020 17:55,Std UK Dom_1,Royal Mail(),Bicycle Standard Index Playing Cards - Pack of 2,,,
Amazon.co.uk,203-9526436-4399521,2020-04-10,GBP,112.82,22.57,1.5,0,136.89,169.06,33.82,B078WST5RK,New,1,Visa - 2011,Closed,Shipped,17/04/2020 22:23,std-uk-dom,AMZN_UK(QB0040033611),Samsung 860 EVO 1 TB SATA 2.5 Inch Internal Solid State Drive (SSD) (MZ-76E1T0),,,
Amazon.co.uk,203-9526436-4399521,2020-04-10,GBP,56.24,11.25,1.49,0,68.98,169.06,33.82,B079QBDTDF,New,1,Visa - 2011,Closed,Shipped,17/04/2020 22:23,std-uk-dom,AMZN_UK(QB0040033611),Wacom Intuos S Pen Tablet Mobile Graphic Tablet for Painting Sketching and Photo Retouching with 1 Creative Software Download Black - Ideal for Work from Home & Remote Learning,,,
Amazon.co.uk,203-9526436-4399521,2020-04-10,GBP,15.99,0,1.5,0,17.49,15.99,0,B079CCTYYT,New,1,Visa - 2011,Closed,Shipped,15/04/2020 22:30,std-uk-dom,AMZN_UK(QB0039591360),Coogam Cyclone Boys 3x3 M Stickerless 3x3x3 Magic Puzzle Toy (FeiJue M Version),,,
Amazon.co.uk,203-8774946-2138724,2020-04-10,GBP,8.03,1.61,0,0,9.64,8.03,1.61,B00O1Y85BW,New,1,Visa - 2011,Closed,Shipped,16/04/2020 07:11,Std UK Dom_1,FedEx(194971264732),5 Star HFC Air Duster (Pack of 2),,,
Amazon.co.uk,203-5257858-8489106,2020-03-21,GBP,19.99,0,0,0,0,,,B084DJ9J8C,New,0,Visa - 2011,Cancelled,,,premium-uk,,Nintendo Switch Lite Carrying Case (Animal Crossing: New Horizons Edition) & Screen Protector,,,
Amazon.co.uk,204-2607898-8550768,2020-03-20,GBP,8.32,1.67,0,0,9.99,8.32,1.67,B01G9KXXGM,New,1,Visa - 2011,Closed,Shipped,20/03/2020 23:21,premium-uk,AMZN_UK(QA0284129225),H&S Dragon Blunt Dull Balisong Butterfly Trainer Knife Pocket Practice Training Knifes Blade Tool - NOT REAL - NO SHARP,,,
Amazon.co.uk,204-5621239-3551538,2020-03-15,GBP,22.99,0,0,0,22.99,46.22,1.25,B082M57YLS,New,1,Visa - 2011,Closed,Shipped,16/03/2020 16:07,premium-uk,AMZN_UK(QA0277889388),Hommy Newtons Cradle With A Half Mirror Stainless Steel Bar Stands Wood Base Metal Balance Balls,,,
Amazon.co.uk,204-5621239-3551538,2020-03-15,GBP,16.99,0,0,0,16.99,46.22,1.25,B07Z35JXFR,New,1,Visa - 2011,Closed,Shipped,16/03/2020 16:07,premium-uk,AMZN_UK(QA0277889388),Luckyrao Magnets Blocks Sculpture Toys with 216pcs and 5mm for Intelligence Development and Stress ReliefGreat For Office School Home Education (Silv,,,
Amazon.co.uk,204-5621239-3551538,2020-03-15,GBP,6.24,1.25,0,0,7.49,46.22,1.25,B07TV9JMTC,New,1,Visa - 2011,Closed,Shipped,16/03/2020 16:07,premium-uk,AMZN_UK(QA0277889388),4 Pieces Tongue Scrapers Reduce Bad Breath Tongue Cleaners Stainless Steel Oral Tongue Brushes Beauty Tools,,,
Amazon.co.uk,204-1712271-1795548,2020-03-01,GBP,11.99,0,4.99,0,16.98,11.99,0,B07QHSP2CP,New,1,Visa - 2011,Closed,Shipped,02/03/2020,premium-uk,AMZN_UK(QA0258997973),BESTKEE Men Tactical Belt 1.5 Inch Heavy Duty Belt Cobra Buckle Belt Nylon Military Style with Quick-Release Metal Buckle Gift with Tactical Molle Pouch and Hook,,,
Amazon.co.uk,204-6484424-4589912,2020-01-02,GBP,16.24,3.25,0.25,0,19.49,16.24,3.25,B07HCM56P6,New,1,Visa - 2018,Closed,Shipped,04/01/2020 03:16,econ-uk,AMZN_UK(QA0184490809),Aussie Hair Care Shampoo and Conditioner Set with Macadamia Nut Oil Jojaba Seed Oil and Avocado Hair Oil and Hair Treatments for Dry Damaged Hair Cruelty Free,,,
Amazon.co.uk,204-6484424-4589912,2020-01-02,GBP,7.25,1.45,0.25,0,8.7,10.57,2.12,B01HOD3ZNO,New,1,Visa - 2018,Closed,Shipped,03/01/2020 16:33,econ-uk,AMZN_UK(QA0184083608),Shea Moisture Jamaican Black Castor Oil Strengthen/Grow and Restore Leave in Conditioner 431 ml,,,
Amazon.co.uk,204-6484424-4589912,2020-01-02,GBP,3.32,0.67,0.25,0,3.99,10.57,2.12,B006VHLKRS,New,1,Visa - 2018,Closed,Shipped,03/01/2020 16:33,econ-uk,AMZN_UK(QA0184083608),John Frieda Frizz Ease Daily Miracle Detangling Leave In Conditioner for Dry Damaged and Frizzy Hair 200 ml,,,
Amazon.co.uk,204-1830210-5041915,2019-12-28,GBP,65.83,13.17,0,0,79,86.62,17.33,B07MJ967TP,New,1,Visa - 2018,Closed,Shipped,29/12/2019 00:03,premium-uk,AMZN_UK(QH0003650318),lief + svein Knife Set with Block. 1.4116 German Stainless Steel Kitchen Knife Set. UltraSharp Cooking Knives Set for Kitchen. Ideal Chef Knife Set or Home Cooking Knife Block Sets (9 Pc Knife Set),,,
Amazon.co.uk,204-1830210-5041915,2019-12-28,GBP,20.79,4.16,0,0,24.95,86.62,17.33,B07C18LWNV,New,1,Visa - 2018,Closed,Shipped,29/12/2019 00:03,premium-uk,AMZN_UK(QH0003650318),5 PACK - Glass Meal Prep Containers - Glass Food Storage Containers - Glass Storage Containers with Lids - Glass meal prep boxes - Dishwasher Microwave Oven & Freezer Safe-BPA Free 850ml 28oz 3.5Cups,,,
Amazon.co.uk,204-1830210-5041915,2019-12-28,GBP,18.44,3.69,0,0,22.13,18.44,3.69,B07HCM56P6,New,1,Visa - 2018,Closed,Shipped,29/12/2019 03:25,premium-uk,AMZN_UK(QA0177645609),Aussie Hair Care Shampoo and Conditioner Set with Macadamia Nut Oil Jojaba Seed Oil and Avocado Hair Oil and Hair Treatments for Dry Damaged Hair Cruelty Free,,,
Amazon.co.uk,204-1830210-5041915,2019-12-28,GBP,16.99,0,0,0,16.99,37.65,4.13,B07Q6YSGF9,New,1,Visa - 2018,Closed,Shipped,28/12/2019 21:52,premium-uk,AMZN_UK(QA0177737126),Collagen Powder Gold Standard Bovine Collagen Peptides Powder by Wellgard - High Levels of The 8 Essential Amino Acids Collagen Supplement Halal & Kosher Made in UK,,,
Amazon.co.uk,204-1830210-5041915,2019-12-28,GBP,11.5,2.3,0,0,13.8,37.65,4.13,B07DVQZT11,New,1,Visa - 2018,Closed,Shipped,28/12/2019 21:52,premium-uk,AMZN_UK(QA0177737126),Vel. Food Strainer Set - Premium Stainless Steel Fine Mesh Set of Strainers Colanders and Sifters with Comfortable Non Slip Handles - Set of 3 - Ergonomic Design,,,
Amazon.co.uk,204-1830210-5041915,2019-12-28,GBP,9.16,1.83,0,0,10.99,37.65,4.13,B07WQY65TY,New,1,Visa - 2018,Closed,Shipped,28/12/2019 21:52,premium-uk,AMZN_UK(QA0177737126),Leosimp for Airpods 1&2 Case 3D Soft Silicone Cute Animal Fun Cartoon Character Airpod CoverKawaii Funny Fashion Keychain Design SkinShockproof Cas,,,
Amazon.co.uk,204-6376284-9408311,2019-12-27,GBP,6.14,1.23,0,0,14.74,12.28,2.46,B01LYSJVKF,New,2,Visa - 2011,Closed,Shipped,28/12/2019 03:21,premium-uk,AMZN_UK(QA0176262413),Toblerone Dark Chocolate Bar 360g,,,
Amazon.co.uk,204-5418617-0891504,2019-12-27,GBP,3.32,0.67,0,0,3.99,3.32,0.67,B01A9IG6PU,New,1,Visa - 2011,Closed,Shipped,27/12/2019 14:01,UK Next,Amazon Logistics(A10370137973),.999 Fine Gold Bitcoin Commemorative Round Collectors Coin - Bit Coin is Gold Plated Copper Physical Coin by Gold Bitcoin,,,
Amazon.co.uk,204-2260127-2172308,2019-12-24,GBP,4.59,0,0,0,4.59,4.59,0,B07QMLLNCW,New,1,Visa - 2011,Closed,Shipped,26/12/2019 19:47,premium-uk,AMZN_UK(QA0174009964),Vosarea Commemorative Coin Chinese Lucky Dragon Collectible for Commemorative Cryptocurrency Enthusiasts Gift Art Crafts Coin,,,
Amazon.co.uk,204-1211587-3627535,2019-12-22,GBP,9.99,2,0,0,11.99,9.99,2,B076FV5W5Q,New,1,Visa - 2018,Closed,Shipped,23/12/2019 20:12,premium-uk,AMZN_UK(QA0171549166),AKIELO RFID Blocking Card Holder with Gift Box - Minimalist Mens Card Wallet - Contactless Credit Card Protector (Alpha Collection),,,
Amazon.co.uk,204-9655074-5572339,2019-12-14,GBP,10.47,2.1,0,0,12.57,10.47,2.1,B00PFUBXWY,New,1,Visa - 2011,Closed,Shipped,15/12/2019 16:07,premium-uk,AMZN_UK(QA0151132632),SHATCHI 4ft- Black Artificial Tree Imperial 230 Tips Artificial Tree with Metal Stand,,,
Amazon.co.uk,203-0975008-5545903,2019-12-13,GBP,11.17,2.23,0,0,13.4,11.17,2.23,B07DYT4ZKK,New,1,Visa - 2011,Closed,Shipped,14/12/2019 11:04,UK Next,Amazon Logistics(A10359834003),Toblerone Milk Chocolate Bar 750 g,,,
Amazon.co.uk,204-9772476-8318716,2019-12-10,GBP,10.42,2.08,0,0,12.5,20.32,2.08,B07M7DY6F4,New,1,Visa - 2011,Closed,Shipped,10/12/2019 20:16,premium-uk,AMZN_UK(QA0139623978),Red Monarch Playing Cards - Theory 11 Deck and Cascade Card Bag,,,
Amazon.co.uk,204-9772476-8318716,2019-12-10,GBP,9.9,0,0,0,9.9,20.32,2.08,B07VQPGJB4,New,1,Visa - 2011,Closed,Shipped,10/12/2019 20:16,premium-uk,AMZN_UK(QA0139623978),CoolChange 2 Kimetsu no Yaiba Tanjiro Kamado earrings,,,
